contig_id	length	gc_perc	cds_coding_density	checkv_quality	checkv_completeness	checkv_contamination	provirus	checkv_gene_count	checkv_viral_genes	checkv_host_genes	total_votes	genomad_hit	genomad_score	dvf_hit	dvf_score	genomad_taxonomy	genomad_topology	genomad_hallmarks	cds_total	cds_known	cds_unknown	cds_known_pct	phrog_head_packaging	phrog_tail	phrog_lysis	phrog_dna_metabolism	phrog_connector	phrog_integration_excision	phrog_moron_amg	phrog_other	phrog_transcription	trnas	tmrnas	crisprs	inphared_accession	inphared_mash_dist	inphared_hashes	inphared_description	inphared_host	inphared_family	inphared_ref_length	iphop_host_genus	iphop_confidence	iphop_methods	propagate_activity	propagate_cohen_d	propagate_ratio
metaspades_NODE_995_length_15613_cov_5.188006	15613	0.38	91.25	Low-quality	24.57	0.0	No	30	5	0	2	1	0.9767	1	0.9778304696083069	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	30	9	21	30.0	2	0	0	0	0	0	3	3	1	0	0	0	PQ571275	0.0838645	94/1000	Bacteroides phage BS-TP2	Bacteroides	Unclassified	57555	Phocaeicola	92.2	iPHoP-RF;94.40	NA	NA	NA
metaspades_NODE_1690_length_9778_cov_3.515479	9778	0.43	93.7	Low-quality	23.55	0.0	No	15	7	0	2	1	0.9786	1	0.9215943813323975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	15	6	9	40.0	0	4	2	0	0	0	0	0	0	0	0	0	MT836489	0.182269	11/1000	Bacteriophage sp.	Unspecified	Unclassified	10080	NA	NA	NA	NA	NA	NA
metaspades_NODE_961_length_16147_cov_5.027591	16147	0.41	92.23	Low-quality	22.88	0.0	No	23	2	0	2	1	0.9712	1	0.9046547412872314	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	23	6	17	26.1	1	2	0	3	0	0	0	0	0	0	0	0	MW660583	0.0487413	219/1000	Bacteroides phage LoVEphage	Bacteroides	Unclassified	71495	Bacteroides	95.9	iPHoP-RF;97.10	NA	NA	NA
metaspades_NODE_2217_length_7485_cov_2.950336	7485	0.41	81.42	Low-quality	22.06	0.0	No	14	1	0	2	1	0.9712	1	0.9870646595954895	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	14	4	10	28.6	0	0	0	3	0	0	0	0	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_1243_length_13070_cov_3.993392	13070	0.45	85.99	Low-quality	21.27	0.0	No	29	3	0	2	1	0.9815	1	0.9987384080886841	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	29	4	25	13.8	0	0	2	2	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_1630_length_10138_cov_6.015273	10138	0.38	96.46	Low-quality	19.74	0.0	No	16	13	0	2	1	0.9831	1	0.9999861121177673	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	5	16	7	9	43.8	4	1	0	1	1	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_1460_length_11295_cov_3.567972	11295	0.45	92.38	Low-quality	18.38	0.0	No	18	5	0	2	1	0.9527	1	0.9986000061035156	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	18	10	8	55.6	0	0	1	5	0	1	0	0	3	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_4_length_7609_cov_3.365374_cutoff_5_type_circular	7609	0.45	80.19	Low-quality	17.41	0.0	No	9	0	2	NA	NA	NA	NA	NA	NA	NA	NA	9	1	8	11.1	0	0	0	0	0	0	1	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_2569_length_6439_cov_2.551222	6439	0.46	96.74	Low-quality	14.29	0.0	No	8	0	0	2	1	0.9831	1	1.0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	8	5	3	62.5	5	0	0	0	0	0	0	0	0	0	0	0	OR296437	0.0898429	82/1000	Bacteroides phage C1_85S2P	Bacteroides	Unclassified	44391	NA	NA	NA	NA	NA	NA
metaspades_NODE_1480_length_11158_cov_6.226605	11158	0.44	99.02	Low-quality	14.19	0.0	No	6	0	2	2	1	0.7069	1	0.9377650022506714	Unclassified	No terminal repeats	0	6	2	4	33.3	0	1	0	0	0	0	1	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_2151_length_7742_cov_3.122024	7742	0.39	92.69	Low-quality	13.57	0.0	No	15	2	0	2	1	0.9795	1	0.9658747911453247	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	15	5	10	33.3	0	0	0	3	0	0	0	0	2	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_2671_length_6225_cov_2.273582	6225	0.48	97.62	Low-quality	13.36	0.0	No	10	9	0	2	1	0.9708	1	0.977361798286438	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	7	10	9	1	90.0	4	1	0	0	4	0	0	0	0	0	0	0	PV036422	0.0914855	79/1000	Agathobacter phage NatCom_13861	Agathobacter	Unclassified	51943	NA	NA	NA	NA	NA	NA
metaspades_NODE_2792_length_5967_cov_3.048207	5967	0.38	96.97	Low-quality	12.69	0.0	No	4	0	0	2	1	0.982	1	0.9698488712310791	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	4	0	4	0.0	0	0	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	Bacteroides	95.9	iPHoP-RF;97.10	NA	NA	NA
metaspades_NODE_2971_length_5632_cov_2.480904	5632	0.45	97.28	Low-quality	12.27	0.0	No	8	2	0	2	1	0.9822	1	1.0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	8	5	3	62.5	2	2	0	1	0	0	0	0	0	0	0	0	MN929097	0.0834041	95/1000	Parabacteroides phage PDS1	Parabacteroides	Unclassified	44691	NA	NA	NA	NA	NA	NA
metaspades_NODE_2428_length_6834_cov_3.013129	6834	0.51	87.31	Low-quality	11.86	0.0	No	12	4	0	2	1	0.983	1	0.9998438358306885	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	3	12	4	8	33.3	3	0	0	1	0	0	0	0	0	1	0	0	MT835849	0.140258	27/1000	Bacteriophage sp.	Unspecified	Unclassified	18284	NA	NA	NA	NA	NA	NA
metaspades_NODE_2900_length_5755_cov_2.682807	5755	0.39	88.81	Low-quality	11.67	0.0	No	13	3	0	2	1	0.9738	1	0.9957602024078369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	13	3	10	23.1	0	0	0	2	0	0	0	1	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	Bacteroides	91.8	iPHoP-RF;94.10	NA	NA	NA
metaspades_NODE_3148_length_5310_cov_2.204186	5310	0.43	91.83	Low-quality	11.14	0.0	No	8	1	0	2	1	0.9817	1	1.0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	8	1	7	12.5	0	0	1	0	0	0	0	0	0	0	0	0	MN929097	0.0943778	74/1000	Parabacteroides phage PDS1	Parabacteroides	Unclassified	44691	NA	NA	NA	NA	NA	NA
metaspades_NODE_2970_length_5633_cov_7.320186	5633	0.55	98.51	Low-quality	11.01	0.0	No	4	0	0	2	1	0.9811	1	0.9140577912330627	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	4	1	3	25.0	0	1	0	0	0	0	0	0	0	0	0	0	MT836398	0.0719629	124/1000	Bacteriophage sp.	Unspecified	Unclassified	10636	NA	NA	NA	NA	NA	NA
metaspades_NODE_2492_length_6666_cov_4.153078	6666	0.46	99.79	Low-quality	10.76	0.0	No	11	6	0	2	1	0.9823	1	0.9999998211860657	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	11	7	4	63.6	2	5	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_3459_length_4863_cov_2.627496	4863	0.45	99.96	Low-quality	10.74	0.0	No	8	2	0	2	1	0.9818	1	1.0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	8	3	5	37.5	0	0	0	3	0	0	0	0	0	0	0	0	MN929097	0.0834041	95/1000	Parabacteroides phage PDS1	Parabacteroides	Unclassified	44691	NA	NA	NA	NA	NA	NA
metaspades_NODE_3385_length_4960_cov_2.696024	4960	0.36	94.17	Low-quality	10.49	0.0	No	9	2	0	2	1	0.9775	1	0.9530953168869019	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	9	2	7	22.2	2	0	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
NODE_2_length_14314_cov_2.578141_cutoff_5_type_circular	14314	0.39	88.64	Low-quality	10.15	0.0	No	17	2	1	NA	NA	NA	NA	NA	NA	NA	NA	17	5	12	29.4	0	0	0	3	0	1	0	0	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_2962_length_5644_cov_2.808016	5644	0.49	62.95	Low-quality	9.69	0.0	No	11	1	0	2	1	0.9643	1	0.9310500621795654	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	11	2	9	18.2	0	0	0	0	0	0	0	1	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_3639_length_4606_cov_3.954515	4606	0.49	97.22	Low-quality	9.32	0.0	No	10	0	0	2	1	0.9815	1	0.9938483238220215	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	10	1	9	10.0	0	0	0	0	0	0	0	1	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_5320_length_3276_cov_2.257373	3276	0.44	97.47	Low-quality	9.32	0.0	No	5	0	0	2	1	0.9133	1	0.9982635974884033	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	5	2	3	40.0	0	0	0	2	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_2973_length_5628_cov_2.285663	5628	0.41	96.5	Low-quality	9.2	0.0	No	8	3	0	2	1	0.975	1	0.9920237064361572	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	8	4	4	50.0	3	0	0	1	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_4080_length_4137_cov_4.166340	4137	0.29	81.61	Low-quality	9.2	0.0	No	5	1	0	2	1	0.9053	1	0.9999967813491821	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	5	2	3	40.0	0	0	0	1	0	0	0	0	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_4152_length_4077_cov_2.466435	4077	0.45	94.16	Low-quality	9.0	0.0	No	7	3	0	2	1	0.9814	1	0.9998281598091125	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	7	3	4	42.9	0	0	0	3	0	0	0	0	0	0	0	0	OR296437	0.105264	58/1000	Bacteroides phage C1_85S2P	Bacteroides	Unclassified	44391	NA	NA	NA	NA	NA	NA
metaspades_NODE_3096_length_5412_cov_2.217659	5412	0.41	83.81	Low-quality	8.81	0.0	No	12	3	0	2	1	0.9755	1	0.9999368786811829	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	12	4	8	33.3	1	0	0	1	0	0	0	1	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_3067_length_5459_cov_2.046447	5459	0.38	93.75	Low-quality	8.61	0.0	No	6	0	0	2	1	0.9363	1	0.960648775100708	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	6	5	1	83.3	0	0	0	1	0	2	0	1	1	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_4886_length_3532_cov_2.045441	3532	0.33	101.3	Low-quality	8.41	0.0	No	4	4	0	2	1	0.9712	1	0.9866393208503723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	3	4	4	0	100.0	0	4	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_4535_length_3769_cov_2.211362	3769	0.38	100.74	Low-quality	8.13	0.0	No	7	4	0	2	1	0.9794	1	0.9278668165206909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	4	7	3	4	42.9	0	3	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	Sulfurovum	91.0	iPHoP-RF;93.40	NA	NA	NA
metaspades_NODE_6382_length_2821_cov_2.239335	2821	0.47	96.42	Low-quality	8.1	0.0	No	4	3	0	2	1	0.9801	1	0.9999804496765137	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	4	2	2	50.0	1	1	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_6658_length_2732_cov_1.526335	2732	0.69	95.53	Low-quality	7.8	0.0	No	6	3	0	2	1	0.9765	1	0.9996358156204224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	3	6	4	2	66.7	2	1	0	0	1	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_3749_length_4476_cov_2.741687	4476	0.49	98.5	Low-quality	7.76	0.0	No	4	1	0	2	1	0.9771	1	0.9998108744621277	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	4	1	3	25.0	0	1	0	0	0	0	0	0	0	0	0	0	MT835849	0.149777	22/1000	Bacteriophage sp.	Unspecified	Unclassified	18284	NA	NA	NA	NA	NA	NA
metaspades_NODE_4818_length_3579_cov_1.703462	3579	0.34	78.15	Low-quality	7.68	0.0	No	8	0	0	2	1	0.7992	1	0.9642534852027893	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	8	1	7	12.5	0	0	0	0	0	0	0	1	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_3292_length_5095_cov_3.414484	5095	0.29	84.3	Low-quality	7.58	0.0	No	7	2	0	2	1	0.9638	1	1.0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	7	3	4	42.9	0	0	0	1	0	0	0	0	2	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_4726_length_3638_cov_2.738487	3638	0.55	87.03	Low-quality	7.46	0.0	No	5	5	0	2	1	0.9711	1	0.9740102887153625	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	5	3	2	60.0	0	3	0	0	0	0	0	0	0	0	0	0	ON470607	0.105264	58/1000	Escherichia phage vB_EcoS-733R4	Escherichia	Unclassified	18201	NA	NA	NA	NA	NA	NA
metaspades_NODE_7285_length_2543_cov_2.131833	2543	0.35	96.78	Low-quality	7.18	0.0	No	5	5	0	2	1	0.9756	1	0.9996860027313232	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	4	5	4	1	80.0	0	2	0	0	2	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_4342_length_3915_cov_2.110881	3915	0.52	91.6	Low-quality	6.98	0.0	No	8	0	0	2	1	0.9804	1	0.9625142812728882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	8	0	8	0.0	0	0	0	0	0	0	0	0	0	0	0	0	MT836731	0.0981375	68/1000	Bacteriophage sp.	Unspecified	Unclassified	16840	NA	NA	NA	NA	NA	NA
metaspades_NODE_2997_length_5574_cov_2.680377	5574	0.54	83.24	Low-quality	6.9	0.0	No	7	1	0	2	1	0.9432	1	0.9544210433959961	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	7	4	3	57.1	0	0	0	1	0	2	0	0	1	1	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_8744_length_2201_cov_2.126281	2201	0.35	100.18	Low-quality	6.83	0.0	No	3	3	0	2	1	0.917	1	0.9874563217163086	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	3	2	1	66.7	0	2	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_4502_length_3790_cov_2.912450	3790	0.45	91.13	Low-quality	6.5	0.0	No	5	0	0	2	1	0.9727	1	0.9538165926933289	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	5	2	3	40.0	1	0	0	1	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_5271_length_3302_cov_2.849399	3302	0.38	90.7	Low-quality	6.43	0.0	No	5	3	0	2	1	0.9809	1	0.9999976754188538	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	5	1	4	20.0	0	0	0	1	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_6915_length_2648_cov_2.699576	2648	0.42	87.58	Low-quality	6.25	0.0	No	3	1	0	2	1	0.838	1	0.9962825775146484	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	3	2	1	66.7	0	0	0	1	0	0	1	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_9662_length_2037_cov_1.742180	2037	0.34	92.64	Low-quality	6.09	0.0	No	3	2	0	2	1	0.962	1	0.9958090782165527	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	3	0	3	0.0	0	0	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_7215_length_2561_cov_2.037909	2561	0.49	85.04	Low-quality	6.07	0.0	No	3	0	1	2	1	0.9506	1	0.9980376958847046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	3	3	0	100.0	0	1	0	2	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_6735_length_2704_cov_2.328803	2704	0.48	84.17	Low-quality	5.98	0.0	No	4	1	0	2	1	0.8835	1	1.0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	4	2	2	50.0	1	0	0	1	0	0	0	0	0	0	0	0	MT836156	0.0786628	106/1000	Bacteriophage sp.	Unspecified	Unclassified	12359	NA	NA	NA	NA	NA	NA
metaspades_NODE_5041_length_3433_cov_2.420663	3433	0.44	90.65	Low-quality	5.95	0.0	No	11	0	0	2	1	0.9819	1	0.9310170412063599	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	11	1	10	9.1	0	0	0	0	0	0	1	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_9730_length_2026_cov_1.925419	2026	0.37	99.85	Low-quality	5.89	0.0	No	2	2	0	2	1	0.9771	1	0.9999901056289673	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	2	2	2	0	100.0	2	0	0	0	0	0	0	0	0	0	0	0	no_inphared_mash_hit	NA	no_inphared_mash_hit				0	NA	NA	NA	NA	NA	NA
metaspades_NODE_2544_length_6503_cov_13.672301	6503	0.57	99.51	Low-quality	5.88	0.0	No	3	0	0	2	1	0.9805	1	0.9902501106262207	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	0	3	0	3	0.0	0	0	0	0	0	0	0	0	0	0	0	0	MT836398	0.0298988	364/1000	Bacteriophage sp.	Unspecified	Unclassified	10636	NA	NA	NA	NA	NA	NA
metaspades_NODE_4343_length_3915_cov_1.769689	3915	0.41	83.6	Low-quality	5.84	0.0	No	6	1	0	2	1	0.9806	1	0.9917787313461304	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	No terminal repeats	1	6	1	5	16.7	0	0	1	0	0	0	0	0	0	0	0	0	MT836016	0.0778587	108/1000	Bacteriophage sp.	Unspecified	Unclassified	13876	NA	NA	NA	NA	NA	NA
